exp,num_stages_K,micro_batches_M,bubble_ratio,effective_compute_pct
tradeoff,2,1,0.5,50.0
tradeoff,2,2,0.3333,66.67
tradeoff,2,4,0.2,80.0
tradeoff,2,8,0.1111,88.89
tradeoff,2,16,0.0588,94.12
tradeoff,2,32,0.0303,96.97
tradeoff,2,64,0.0154,98.46
tradeoff,4,1,0.75,25.0
tradeoff,4,2,0.6,40.0
tradeoff,4,4,0.4286,57.14
tradeoff,4,8,0.2727,72.73
tradeoff,4,16,0.1579,84.21
tradeoff,4,32,0.0857,91.43
tradeoff,4,64,0.0448,95.52
tradeoff,8,1,0.875,12.5
tradeoff,8,2,0.7778,22.22
tradeoff,8,4,0.6364,36.36
tradeoff,8,8,0.4667,53.33
tradeoff,8,16,0.3043,69.57
tradeoff,8,32,0.1795,82.05
tradeoff,8,64,0.0986,90.14
tradeoff,16,1,0.9375,6.25
tradeoff,16,2,0.8824,11.76
tradeoff,16,4,0.7895,21.05
tradeoff,16,8,0.6522,34.78
tradeoff,16,16,0.4839,51.61
tradeoff,16,32,0.3191,68.09
tradeoff,16,64,0.1899,81.01
